難易度,曲名,理論値,全国TOP,月岡恋鐘さんのスコア,全国平均,BPI
sl1,架空ユリカゴ [in esse],2828,2828,2758,2576.85,9.31
sl1,Selenotaxis [Full Moon],2712,2688,0,2251.22,不明
sl1,SYNTHETICS,2944,2858,0,2418.94,不明
sl1,夢の地図と僕らの旅 [departure],2812,2801,0,2439.81,不明
sl1,deg w∧v chu doc [ANOTHER],3560,3517,0,2809.78,不明
sl1,豪華絢爛少女 [SP Another],3170,3137,0,2607.68,不明
sl1,Play Me Your Love Song [7KEYS ANOTHER],2956,2933,0,2445.03,不明
sl1,永劫綺譚の純潔葬花 -White Lily-,3600,3572,3453,3069.07,28.83
sl1,Brave My Soul -Flareness Heart-,4000,3993,3567,3363.09,2.5
sl1,Alitatrieb [Madness],4222,4179,0,3538.91,不明
sl1,ブラーブルー [蒼ひ空],3322,3293,3061,2862.78,9.25
sl1,overtrue,2500,2471,2330,2108.41,18.15
sl1,マージナル＊フロンティア [魔法世界へようこそ],3000,2944,0,2380.31,不明
sl1,PANIC RACE!,3384,3331,0,2805.05,不明
sl1,スピカ [moon_child],2780,2780,2690,2466.03,8.54
sl1,My Typical [ANOTHER],3552,3528,0,3040.35,不明
sl1,あのね、涙は。 [月と星],2600,2593,2574,2316.89,51.84
sl1,far in the blue sky... [rather],4624,4616,4268,4003.93,4.56
sl1,東風谷早苗が悲しい顔をする理由。,4216,4134,0,3508.32,不明
sl1,Innocent Blossom [SP ANOTHER],3760,3747,0,3169.36,不明
sl1,Dog Ear [ZOI],2694,2679,2508,2368.51,7.75
sl1,Smiling,3290,3263,3102,2778.56,19.85
sl1,JUDGEMENT ARROWS -Luna-,2558,2549,0,2154.48,不明
sl1,Linkager [EX],3292,3287,0,2958.57,不明
sl1,Coastline Fantasy [SP Another],3260,3223,0,2781.95,不明
sl1,Crazy Sweetie Glitter Candy Color [ZOI],4124,4103,3943,3642.89,17.44
sl1,浮世絵横丁,3302,3272,0,2642.18,不明
sl1,プナイプナイたいそう [SP ANOTHER],2478,2470,2400,2082.64,26.84
sl1,last:wish (Another),3042,3015,0,2550.61,不明
sl1,OneviA -ANOTHER-,3308,3259,0,2637.07,不明
sl1,Berry Go!! [Esteem and Love],3554,3502,3439,2919.72,56.41
sl1,Trancing 'Tempo'rary [ANOTHER],3200,3157,0,2637.96,不明
sl1,Out of Sense [Another],3484,3479,0,3039.9,不明
sl1,Asgard [ZOI],3400,3389,0,2844.34,不明
sl1,Jack o' Lantern [sagANOTHER],3156,3107,0,2682.04,不明
sl1,Life Style [INSANE],3234,3126,0,2596.92,不明
sl1,Strawberry Mint Chocolate [ice cream],3346,3308,0,2819.32,不明
sl1,Midnight o'clock -DREAMING-,3240,3204,0,2615.15,不明
sl1,オリヴィアの幻術 [Close-up],4000,3937,0,3366.34,不明
sl1,IKAROS [HARD],3284,3269,3197,2872.59,32.14
sl1,JUGGLE -SPINNER-,3244,3198,0,2633.53,不明
sl1,Elnath [Memory],3554,3504,0,2990.42,不明
sl1,Schwerkraft [Planet],2938,2887,2700,2334.32,23.12
sl1,Little Guardian [ANOTHER],3170,3152,0,2681.52,不明
sl1,The NightScape [Insane],3000,2971,0,2572.13,不明
sl1,MANHATTAN [sweet Vermut],3784,3748,0,3186.73,不明
sl1,Signal Stars [Radiance Ark],3600,3569,0,3104.18,不明
sl1,Afterwhile [Twilight],2922,2904,0,2537.78,不明
sl1,ドキドキ☆ココロ☆フレーバー (Lemon beads Hands-Up bootleg) [Le Jardin Ensoleile],3342,3337,3267,2957.41,23.09
sl1,Shooting Silver Bullet [ANOTHER],3454,3438,0,2813.31,不明
sl1,Chatblanc [clonter],2000,1986,0,1708.81,不明
sl1,Sakura Fubuki [桜、夢。],2242,2231,2092,1899.79,11.75
sl1,CUTSIC,2948,2934,0,2547.2,不明
sl1,WAYLAID (Additional),2468,2432,0,1981.34,不明
sl1,Pain Continues [SP Cloudy],4030,4018,0,3383.59,不明
sl1,Ashen Land [SP ANOTHER],2748,2707,0,2299.51,不明
sl1,Starry Fate [EX],4420,4372,4218,3685.27,32.56
sl1,Road to Dwarf -Little Princess Medley- -EXTRA-,5080,5053,0,4028.39,不明
sl1,Latch (Flip-Flop) [Spinner+],3400,3316,0,2786.43,不明
sl1,はるいろ こみち [春],3050,3041,0,2712.44,不明
sl1,平行世界のテスタメント,2400,2398,2293,2122.18,8.5
sl1,Dance Doll Dream [HARD],3750,3740,0,3360.89,不明
sl1,The World of Cyber [SP INSANE],3300,3288,0,2699.76,不明
sl1,エーデルワイス [SP ANOTHER],3360,3322,0,2603.52,不明
sl1,rePrayer [7key EX],4102,4086,0,3516.62,不明
sl1,Sky is the Limit [Max],3712,3706,0,3234.39,不明
sl1,YAKUSOKU "kanon Tr_10 speed remix" [Max],2518,2505,2368,2209.12,10.89
sl1,Late Summer [Another+],3458,3448,0,2937.27,不明
sl1,Love Blood [INSANE],2150,2128,2026,1698.05,27.99
sl1,FORBIDDEN APPLE [HARD],4354,4338,0,3687.12,不明
sl1,絵空事の世界と私 [Another],3540,3534,3458,3010.53,26.86
sl1,Black Lair [ANOTHER],3610,3581,0,2579.48,不明
sl1,Alicia Story (UETHER),3546,3540,0,2999.51,不明
sl1,Pangaea [IIDX],2712,2675,0,2043.85,不明
sl2,Apocaliptix [Doomsayer],3420,3278,0,2816.9,不明
sl2,Phantastic Holiday [SP PHANTASM],3542,3432,0,2964.89,不明
sl2,8bit Voyager [ANOTHER7],4000,3970,0,3360.8,不明
sl2,on the sequence #3 (NOTVICE),4198,4155,0,3787.39,不明
sl2,チョウの標本 [Bullfighter],3068,3002,0,2494.52,不明
sl2,Feast of Lights [SP Natsumatsuri],3588,3470,0,3001.31,不明
sl2,Lots Of Spices [甘口],3346,3323,0,2759.98,不明
sl2,リリカと魔法の言葉 [ZOI],3664,3622,0,3205.9,不明
sl2,夜間飛行トラベラー [SP AMNESIA],4216,4169,0,3599.66,不明
sl2,Grimheart [Heartbeat],2986,2926,0,2479.02,不明
sl2,On And On!! [PIETHER],3310,3261,0,2908.58,不明
sl2,fragile crystal [Amethyst],3760,3740,0,3256.17,不明
sl2,ほしぞら遊覧飛行 -under the milkyway-,3146,3083,0,2697.52,不明
sl2,GLAZ [OTs-03],3422,3383,0,2915.15,不明
sl2,-雪月花- [ZOI],3678,3671,0,3155.63,不明
sl2,僕が見た世界 [Be My Star!!],3336,3321,0,2982.85,不明
sl2,サカサマの空に在ったのは [ZOI],4366,4317,0,3607.31,不明
sl2,LIGHT OF HARMONY,3400,3385,0,2994.83,不明
sl2,On And On!! [Impulse],3130,3109,0,2672.57,不明
sl2,Hypnos Metropolis,2898,2872,0,2470.75,不明
sl2,N-Flux -ANOTHER-,3660,3612,0,2980.9,不明
sl2,Good Life [ZOI],3730,3680,0,3264.75,不明
sl2,☆ウィンドサンバランド☆ -ANOTHER-,3554,3519,3246,2984.16,10.36
sl2,gazer [Another++],4046,4036,3895,3491.66,18.43
sl2,island dream [maniac],4000,3983,0,3371.45,不明
sl2,One Way Street [Monotone],3680,3614,0,3147.89,不明
sl2,Sea Breeze Memory -Summer Vacation-,4826,4817,4692,4339.02,18.38
sl2,物怪舞踏 [座敷童子],4076,4020,0,3518.3,不明
sl2,FIONA [Sog],3370,3314,3080,2756.59,17.51
sl2,Challenge [Insane],3400,3381,0,2985.14,不明
sl2,シャーロック・シェリンフォードのテーマwithえかたん [Why done it?],2970,2965,0,2690.12,不明
sl2,Love☆Spellcard [ZOI],4008,3966,0,3413.08,不明
sl2,VISTA [windows],3578,3556,0,3027.58,不明
sl2,Bittersweet Magic [Chocolate],3394,3387,3212,3027.27,7.45
sl2,Implexrough [IMPLEX],4000,3991,0,3320.88,不明
sl2,Fanciful False -SP ANOTHER-,3228,3182,0,2659.52,不明
sl2,Scene Scrambling [Another],3988,3971,0,3358.06,不明
sl2,Shining Stage,4254,4230,0,3724.72,不明
sl2,WHIRLWIND [ABNORMAL],3850,3795,3630,3248.25,27.27
sl2,キミとボクへの葬送歌 [sagANOTHER],4114,3992,0,3417.47,不明
sl2,BOUNCE THE TECH†LEGGENDARIA,3834,3812,0,3086.7,不明
sl2,Holy Lightbringer [7KEYS ANOTHER],4246,4216,0,3623.65,不明
sl2,Replunge -Breakthrough-,3298,3280,0,2851.57,不明
sl2,Fly up to : the Sky [Insane],3474,3464,0,2789.24,不明
sl2,Third World [World's End],2816,2798,2535,2397.38,4.51
sl2,Scaffold -Execution-,3968,3900,0,3133.86,不明
sl2,Silver Eater -Sharira-,3468,3428,0,2873.04,不明
sl2,Under the starry sky [ZOI],4766,4752,4431,4016.79,9.09
sl2,Chronomia [ANOTHER7],3782,3743,0,3037.59,不明
sl2,Re/Im [ZOI],4136,4063,0,3432.76,不明
sl2,Epic Bellum -universum- [BlackAnother],4218,4168,0,3541.66,不明
sl2,パステルプラネット [ZOI],3616,3585,3337,3034.33,12.54
sl2,Fakeover [SP ANOTHER],3874,3854,0,3108.73,不明
sl2,HIGHWAY RACING [ANOTHER],3178,3100,0,2575.5,不明
sl2,村 [正],2868,2864,2762,2573.02,11.61
sl2,ウエライド：草 [Another],2562,2558,0,2203.55,不明
sl2,ネコにまつわるエキストラ [ZOI],3984,3946,0,3409.73,不明
sl2,Anzu no Kakkoi Ongaku [SP EXTRA],3310,3272,0,2748.04,不明
sl2,RiZE UP FUTURE [Dif],3270,3216,0,2744.71,不明
