難易度,曲名,理論値,全国TOP,月岡恋鐘さんのスコア,全国平均,BPI
sl4,squartatrice [HARD],4394,4356,4128,3597.08,21.65
sl4,Flesvelka [yumether],4150,4054,0,2287.25,不明
sl4,聖戦ものがたり [yumether],3742,3712,0,2861.77,不明
sl4,◆ B a r o q u e ◆ −Reincarnation−,3152,3053,0,2597.71,不明
sl5,breathe [SP INSANE],4192,4110,0,3480.33,不明
sl5,Cutee☆NeverLand [EXTRA],4466,4394,4158,3734.36,22.79
sl5,五月雨に誓う [SP EX+],3614,3596,0,3294.79,不明
sl5,8bit Adventurer,3700,3587,0,3034.29,不明
sl5,District IX [Insane],3200,3062,0,2582.74,不明
sl5,al fine [INSANE],4800,4744,0,3879.2,不明
sl5,Term of Atrophy [ANOTHER],4074,4025,0,3488.71,不明
sl5,貴女と秘密の… [Lilie],4572,4516,0,3897.74,不明
sl5,虹夜パレッド -SP ANOTHER-,5088,5000,0,4213.08,不明
sl5,Replica [ZOI],4726,4673,0,3923.71,不明
sl5,薄雲 [7KEYS TRISTANOTHER],4348,4324,0,3698.19,不明
sl5,明空リュウセイグン [Daybreak],3290,3280,0,2921.03,不明
sl5,茜の旅人 [twilight],4384,4361,0,3624.88,不明
sl5,QSHELL −拒色のシェルル− [ZOI],3826,3781,0,3252.51,不明
sl5,Unleashed World [ZOI],3970,3905,3241,3276.3,-0.3
sl5,We are the xxxx [Shelther],4238,4198,3877,3550.06,10.79
sl5,LivedaM (imagination),3156,3024,0,2450.51,不明
sl5,Signager -HONGKONG EXPRESS-,3960,3940,0,3468.41,不明
sl5,Behind you [Lunatic],4168,4119,0,3425.96,不明
sl5,L9,3110,3061,2748,2549.12,7.61
sl5,Operation_ALTAIR [CodeName-V.E.G.A.],3944,3891,0,3244.11,不明
sl5,もぺもぺ [ZOI-SC],3042,3000,2810,2592.88,14.72
sl5,写儀の少女Lix [ZOI],4082,4023,0,3438.31,不明
sl5,XIII Charlotte -BLACK ANOTHER-,4200,4063,0,3233.79,不明
sl5,Tragedia [HARD],4968,4908,0,4293.52,不明
sl5,WHIRLWIND [EXTRA],4666,4576,0,3618.22,不明
sl5,Altros -VIRTUAL REALITY-,2982,2939,0,2541.19,不明
sl5,BOUNCE THE TECH [M4KE S0M3 N01SE],4000,3847,0,2999.24,不明
sl5,Chronomia,3760,3735,0,3242.32,不明
sl5,CLOUDY PARK [Crepuscular Ray],4582,4558,0,3854.07,不明
sl5,炎花 - flameflower - [ClimaX],3144,3092,2875,2661.47,13.43
sl5,地獄の業火で焼肉大会！？ [ZOI],4768,4659,4542,3850.2,53.35
sl5,空想都市トーキョー -Dreaming-,3050,2976,0,2482.53,不明
sl5,Alice in Misanthrope -厭世アリス- [rejection],5070,5008,0,4195.41,不明
sl5,arosonik'A [ZOI],5072,4943,0,4198.92,不明
sl5,AIWS [ZOI],3830,3772,3619,3242.53,29.41
sl5,GOODBOUNCE [建大入口駅1番出口から徒歩10分],4586,4529,0,3726.09,不明
sl5,Between Sanity and Insanity -Luna-,4630,4611,0,3831.67,不明
sl5,Wizdomiot [ABNORMAL],4204,4131,3851,3444.41,18.71
sl5,天 -Apocalypse-,4266,4233,0,3724.68,不明
sl5,太陽と月の宴,3906,3841,0,3303.07,不明
sl5,Flicker [F],4000,3897,0,3074.14,不明
sl5,白き星姫-Принцесса белая звезда- [декабристов],4350,4291,0,3576.4,不明
sl5,DataErr0r [SP INSANE],3378,3339,0,2577.32,不明
sl5,New Windy Paradise [Refreshing],4078,4026,0,3314.16,不明
sl5,Dance Doll Dream [Antoinette],4316,4267,0,3651.24,不明
sl5,ふゆいろ ドリーマー [冬],4242,4175,0,3510.76,不明
sl5,せるびずむ！ [NIGHTMARE],4028,3993,0,3338.31,不明
sl5,BLOODY ROSE [F],4400,4361,0,3791.67,不明
sl5,My Hardcore [Difficult],4078,3918,0,3083.65,不明
sl5,To you [Affection],3532,3504,0,2873.24,不明
sl5,Iolitia [7key/SABOTHER],5034,4992,4165,4024.3,1.03
sl5,でじたるふぁじー！ -Radio Edit- [EX],3368,3295,0,2823.31,不明
sl5,Lapis -The Heavens Remix- [Max],3558,3525,0,3067.42,不明
sl5,Adularescence [ANOTHER],3018,2951,0,2058.66,不明
sl5,yksinaisyys [F],4690,4545,0,3816.02,不明
sl5,星屑アポトーシス [Monsther],3100,3043,2754,2536.11,9.84
sl5,Fading Star -Canopus-,3836,3788,0,3070.39,不明
sl5,banana man [HARD],4442,4177,3531,3349.83,4.58
sl5,Trick or Treat? [Extra],4344,4277,0,3443.96,不明
sl6,Awaking Beat-From the next generation- [W],4570,4355,0,3708.13,不明
sl6,カタリスト [Excitation],4906,4790,0,4228.52,不明
sl6,テウメッサ [水中ステージ],5434,5235,0,4435.78,不明
sl6,カラフル・サウンズ・カッター [Colorful],5070,5024,0,4342.93,不明
sl6,水の螺旋 [TOWER],2898,2891,0,2579.69,不明
sl6,白菊 [Snother],3682,3663,0,3078.5,不明
sl6,四十五年ノ雪桜 [Blossoms],4170,4116,3945,3479.8,29.18
sl6,クォークの海を泳いで [Photonica],4096,3984,0,3376.88,不明
sl6,Qualia [Quantia],4800,4751,0,3998.77,不明
sl6,Alastor [End],5658,5583,5360,4639.22,32.34
sl6,Sacrificio [INSANE],4164,4080,0,3392.03,不明
sl6,rainbow [HARDEST],3814,3656,0,3074.28,不明
sl6,dimension wanderer [ZOI],3768,3716,0,3232.19,不明
sl6,サカサマの空に在ったのは [Dreaming],4924,4769,0,4012.76,不明
sl6,虹夜パレッド -Rainbow-,5252,5147,4805,4370.34,18.04
sl6,Snowy Light(BMS Edit) [I'm Already Tracer],5056,5006,0,4335.87,不明
sl6,INSANER [ANOTHER],4410,4361,0,3374.4,不明
sl6,Absolute Future [ANOTHER+],4830,4768,4315,3820.18,11.85
sl6,エピトゥリカの祀 [cprac-easy],5008,4926,0,4154.3,不明
sl6,ouroVoros [SP AMETHER-A],4398,4324,0,3461.0,不明
sl6,Total Eclipse of the Sun -Howling-,5660,5628,0,4741.54,不明
sl6,After The Rain [MANIAC],3896,3858,0,3304.09,不明
sl6,Signager [ZOI],4572,4486,0,3871.34,不明
sl6,奏龍ピアソラ [D.Append],4024,4006,3727,3424.27,8.97
sl6,reverieland [7KEYS EXTRA],4168,4123,3652,3433.38,4.5
sl6,My Typical [INSANE],4872,4803,0,3989.75,不明
sl6,星の器〜STAR OF ANDROMEDA -Re:NORMAL-EX-,5200,5146,4683,4347.08,7.73
sl6,浮世絵横丁 -凱風快晴-,4034,3919,0,3355.11,不明
sl6,Catalyst [GOODNESS Again.],4800,4764,0,4175.65,不明
sl6,Snow Crystal [INSANE],3946,3845,0,2997.68,不明
sl6,Bad Cycle [ZOI],4968,4910,0,4223.15,不明
sl6,Luna Express 2032 [Farewell],4064,3994,3575,3350.45,6.57
sl6,Finixe [REMAIN],4444,4353,3689,3337.5,5.99
sl6,disperagioia [ANOTHER],4690,4588,4497,3660.76,61.62
sl6,Dizzolve [Insane],5006,4946,0,3696.53,不明
sl6,ロスト：ユートピアと真理と純粋の極彩世界 [SP ANOTHER],4838,4724,0,3761.29,不明
sl6,+84 [摩天楼],3604,3520,0,2924.34,不明
sl6,BlythE:ExtenD -SemicoloN-,5316,5271,4966,4387.87,18.29
sl6,Last Feud ~the period~  [EXTRA],4000,3921,0,3096.81,不明
sl6,fuga (普通 Version),3444,3394,3167,2714.04,21.73
sl6,N - flat waves - [Lucid],3732,3607,0,2962.17,不明
sl6,BiBiRi [Electric Mouse],4046,3944,0,3217.21,不明
sl6,にじいろクレヨン -Eb-,5486,5461,0,4862.18,不明
sl6,Lollipop☆driveR [HARDEST],4934,4796,0,3861.89,不明
sl6,Exploring the blue sky [Li],4600,4557,0,3805.66,不明
sl6,Memoria-Recollection- -追想の夜明け-,5184,5113,0,4276.91,不明
sl6,Love-Colored Look of the Sky [SSUT],4218,4140,0,3460.54,不明
sl6,オトゲラヴ！ [男の娘ラヴ！],4714,4611,4136,3687.06,12.5
sl6,Yellow Smile (bms edit) (ヽ*'∀')人 (*'∀'ノ),3888,3827,0,3243.35,不明
sl6,多重極展開 [MANIAQ],4560,4493,4176,3626.43,19.58
sl6,現実をカットアップしてみた [Append+],4766,4667,4193,3512.42,17.13
sl6,蓄積×フラストレーション  [交錯×アサーション],4146,4053,3637,3353.17,9.4
sl6,88D [大きい],4450,4377,0,3341.67,不明
sl6,Lace Queen [7key,Sabother],3968,3949,0,3386.94,不明
sl6,Bicolor Spirit [EXHARD],3966,3826,0,3178.79,不明
sl6,月時計　Last・Dial (morither+),4508,4421,0,3516.99,不明
sl6,Seed [Another+],3886,3844,0,3117.38,不明
sl6,Elina (feat. Reislaufer) [HARDEST],4734,4553,3938,3788.9,3.35
sl6,平衡世界 Parallel World [HARDEST],4544,4482,0,3454.46,不明
sl6,rabbit burrow -EX-,5640,5590,0,4697.84,不明
sl6,夜空の★FANTASY [STAR DUST],4214,4164,0,3308.44,不明
sl6,ピアノ連弾的「You」〜ひぐらしのなく頃に〜 [ LEVEL 4 ],2988,2913,2406,2336.93,1.18
sl7,Another Day [Another Delay],3272,2910,0,2379.78,不明
sl7,Polymorphism [Obscure],4828,4696,0,4030.92,不明
sl7,Giselle [Etude],4480,4164,0,3419.18,不明
sl7,NANI-KORE -はぁ?-,4620,4438,0,3578.38,不明
sl7,Lebensumlauf [INSANE],4836,4744,0,3862.08,不明
sl7,Anarchist [Autonomism],3566,3461,0,2813.91,不明
sl7,プナイプナイせんそう [LITTLE DAEMON],4142,4008,3840,3327.81,40.75
sl7,Calamity Fortune [MASTER],4690,4617,0,3771.18,不明
sl7,dimension_wanderer [dreamer],3940,3725,0,3180.14,不明
sl7,Synthesizer M.H. [消失],3768,3707,0,3060.23,不明
sl7,アレア→イデア [Snother],5596,5558,0,4557.62,不明
sl7,Orfevre -Expert-,4600,4486,0,3685.33,不明
sl7,VECTOR,4200,4132,0,3583.27,不明
sl7,recollect [失われた思い出],4050,4018,0,3475.44,不明
sl7,Remembrance [INSANE],4400,4331,0,3581.29,不明
sl7,SAVE The World -starlight,more Colors- [Did you catch that?],5000,4942,4497,3984.6,12.16
sl7,さよならコスモノート [Another+],5466,5319,0,4509.75,不明
sl7,Fanciful False [Pain],4420,4313,0,3570.49,不明
sl7,energy night [JOY],5050,4959,0,4066.55,不明
sl7,Number Y [INSANE],5140,5069,0,4179.36,不明
sl7,ココナツ・アバンチュール [SP BLACKANOTHER],6106,5867,0,4713.47,不明
sl7,レトロモダンの玩具工場 [INSANE],5292,5165,0,3992.52,不明
sl7,Dilapidated city [グミ],4000,3989,0,3444.51,不明
sl7,Blooming!! [Insane],3996,3895,0,3092.29,不明
sl7,Materialize Anything [Almighty],4268,4235,0,3695.59,不明
sl7,Scaffold -Luna-,4840,4689,0,3863.63,不明
sl7,Ninja Castle [Slayer],3980,3933,0,3219.71,不明
sl7,シオカラ節 (Club &amp; FM Remix) [S+30],3622,3584,3355,2793.62,22.27
sl7,Amusing Reflection Rag. [F],6000,5903,0,4792.72,不明
sl7,すばらきしこのせかい,3434,3225,0,2568.11,不明
sl7,overtrue -Luna-,5000,4872,0,3969.34,不明
sl7,Memory Of Sunrise [Pfeil],4216,4156,0,3533.32,不明
sl7,Babel [HARDEST],2962,2884,2701,2461.1,20.75
sl7,conflict [ZOI-EX],5454,5350,0,4437.07,不明
sl7,村 [村 of a Bitch],4268,4254,0,3797.76,不明
sl7,Funny Funky Freaky [HARD+],4400,4337,0,3659.22,不明
sl7,Taken The First Step -SILVER Edit- [yumether],4590,4534,0,3937.43,不明
sl7,Citrus Sunset *･゜ﾟ･*:.｡..｡.:*･'(*ﾟ▽ﾟ*)'･*:.｡. .｡.:*･゜ﾟ･*,4848,4773,0,4035.71,不明
sl7,Megalovania HardRockArrange [Do you wanna have a bad time?],4354,4335,4176,3621.68,24.11
sl7,GO BACK 2 YOUR RAVE [EX],4600,4528,0,3815.49,不明
sl7,エーデルワイス [Linther],5016,4893,0,4038.84,不明
sl7,Astronomical Twilight [Sunrise],4338,4162,0,3477.12,不明
sl7,和鸞 [紅翼鳥],4592,4418,0,3525.29,不明
sl7,君の記憶、風の唄 -LiALIZE-,4960,4873,0,4016.34,不明
sl7,年中夢中な好奇心 [ManiaK],4666,4455,4019,3780.42,10.24
sl7,GOODTEK [鷺梁津駅1番出口から徒歩10分],4244,4164,3912,3389.84,25.21
sl7,スーパーイザナギオブジェクト [yumether],4760,4676,4449,3914.55,28.5
sl7,Doppelganger [Eb],4538,4355,3926,3642.83,11.72
sl7,恋の2-4-11(BMS Edit) -改二-,5600,5511,5074,3966.77,24.3
sl7,the lost dedicated [nostalgia],3814,3809,3433,3218.73,2.85
sl7,satellite -EARTH-,4560,4411,0,3684.88,不明
sl7,Sky is the Limit [BlackMax],5268,5251,0,4566.93,不明
sl7,cotton39% (EX),4160,4087,0,3537.28,不明
sl7,Akasagarbha  [Sabother],4072,4027,0,3371.33,不明
sl7,Singing of Night birds [SKY],4848,4691,0,3987.49,不明
sl7,In The Wind -うままう-,3790,3763,0,3130.77,不明
sl7,煌舞姫ベアトリクス [HARDEST],4546,4525,4383,3857.15,26.53
sl7,exists Uniquely [INSANE],5180,5118,0,4117.72,不明
sl7,7SP:雪の少女-MorningDash!Mix- [MANIAQ],4744,4685,0,3778.43,不明
sl7,Hybrid Galaxy [VACA],4934,4854,0,4026.67,不明
sl7,Mario Paint (Time Regression Mix for BMS) [Hi],5590,5536,0,4720.94,不明
sl7,Exodus [HARDEST],4652,4590,0,3844.59,不明
sl7,Quad Queens [Monsther+],3974,3849,0,3339.87,不明
sl7,Chariot -Miyabi style- [EX],3830,3815,0,3028.75,不明
sl8,Metatron [MANIAC],4628,4516,0,3881.04,不明
sl8,アトロポスと最果の探求者 [dilaceration],4378,4359,0,3883.36,不明
sl8,僕が見た世界 [Believe My Shine!!],4444,4399,0,3851.77,不明
sl8,図書室のエルザ [Fairytale],4444,4402,4216,3770.18,24.4
sl8,Death Opera -Luna-,5000,4877,0,4113.95,不明
sl8,JK★REVOLUTION!!!!!! -Hope-,4200,4099,0,3344.63,不明
sl8,faRE:well [See you later],5416,5351,0,4579.71,不明
sl8,MARENOL [HARDEST],4568,4334,3925,3672.07,12.28
sl8,Upshift [Futabather],5322,5179,0,4257.9,不明
sl8,ReviXy [SP AMETHER-A],5322,5151,0,4232.03,不明
sl8,Happiness Magical Kanon [HAPPY],5050,5001,4793,4176.42,27.68
sl8,Flashdance [#],3610,3568,0,2976.72,不明
sl8,Trane [SP ELIXIR],4066,3957,0,3223.14,不明
sl8,Nhelv [Ruina],5028,4925,0,4025.08,不明
sl8,DESPERATE -Last Battle-,5450,5323,0,4335.42,不明
sl8,FELYS -Luna-,3880,3825,0,3200.82,不明
sl8,Alitatrieb [Insanity],5420,5285,0,4490.65,不明
sl8,自強號 [333],4814,4727,4188,3864.61,7.27
sl8,パブロペトリの泡影,4444,4365,0,3627.58,不明
sl8,RE:START [純],5464,5369,4768,4464.99,6.02
sl8,[line-epsilon] -DriFter-,5058,4767,0,3954.4,不明
sl8,Stellar Blue [Aesthetics],4234,4180,0,3364.31,不明
sl8,marchendreams.（BMS edit） [7key Grimoire],4036,3925,0,3308.55,不明
sl8,ネコイチ(Lemon beads Remix) [Pollux],4300,4281,3917,3629.99,6.22
sl8,Prog-M -PragMaTiC-,4860,4801,0,4038.68,不明
sl8,八大地獄邪魂転生狂葬散火歌 [乃憂魔流],4444,4200,3597,3094.54,14.21
sl8,Shade of Stars [★],4000,3918,0,3180.89,不明
sl8,Strawberry Mint Chocolate [Mu],4582,4485,0,3637.85,不明
sl8,magia [HARDEST],5260,5233,0,4117.49,不明
sl8,ラケシスと永遠の祈祷者 [Sanctuary],4600,4477,4113,3765.82,14.91
sl8,GOODBOUNCE [Hurry up!],5696,5656,4996,4613.39,4.81
sl8,Re:End of a Dream [Re:LAPITHER],4934,4809,0,4162.83,不明
sl8,空想都市トーキョー -TOKYO 2020-,4040,3822,0,3060.51,不明
sl8,聖戦の輪舞 -Luna-,4928,4809,0,3890.51,不明
sl8,Holiday Ocean Resort [SP HOLIDAY],5242,5048,0,4194.7,不明
sl8,Misdirection [Black children],4000,3905,0,3207.0,不明
sl8,Reason of being [EXTRA],3600,3511,3279,2824.93,25.99
sl8,壽 [SPICY],5134,5007,0,4281.29,不明
sl8,クロートーと星の観測者 [MANIAC],4346,4343,3971,3676.54,3.51
sl8,sweet pop [Sugar Rush!!],4914,4832,0,3942.75,不明
sl8,Trahison [F],4690,4616,4200,3651.97,15.15
sl8,Hazy moon (SABOTHER),5032,4954,0,4209.55,不明
sl8,円環の理 [HARDEST],4610,4530,4320,3836.05,28.45
sl8,Artemis　 -SABOTHER-,5284,5188,0,4401.39,不明
sl8,Artificial Rose [Replica],5420,5381,0,4655.92,不明
sl8,星屑アポトーシス [Monsther+],3780,3658,3132,2971.96,3.99
sl8,Tethys -Odysseus-,5008,4949,0,4082.62,不明
sl8,Tribute [Black Another],4818,4682,0,3367.56,不明
sl8,Close the Lights (EX),4860,4804,0,3790.52,不明
sl8,闘気に満ちた草原,4264,4196,0,3344.47,不明
sl8,Empress of Raizze [ストレッチ],3746,3496,0,2899.35,不明
sl8,EXILE -NEMESIS-,5020,4838,0,3865.46,不明
sl9,水晶世界 [Quartz],4200,4094,0,3630.17,不明
sl9,Daybreak [AM 6:00],3890,3710,0,3197.4,不明
sl9,雪月夜鐘 [まだまだ走れます],6616,6601,0,6114.97,不明
sl9,新たなる決意 -黎明-,4350,4192,0,3613.61,不明
sl9,Ravers Rave Anthem II [Fever],5024,4906,0,4039.16,不明
sl9,Affection [Appreciation],5656,5515,0,4429.92,不明
sl9,ニニ - ニサシゴ -,4690,4541,0,3781.9,不明
sl9,Replica [Decadent],5400,5325,0,4439.26,不明
sl9,Wondering Fortune [Lucky],5462,5380,0,4207.61,不明
sl9,WE ARE HARDCORE [Gang],5634,5504,0,4588.88,不明
sl9,Gecko [Ruff-Ruff],4242,4150,0,3509.4,不明
sl9,永劫綺譚の純潔葬花 -Red Lily-,5080,5007,4574,4222.53,9.91
sl9,Implexrough -Luna-,6550,6369,0,5160.76,不明
sl9,桜花爛漫の墓標 [rather],5110,5045,0,4303.52,不明
sl9,Love☆Spellcard -Luna-,5060,4964,0,4121.98,不明
sl9,時架け -Luna-,5020,4907,0,3881.14,不明
sl9,XIII Charlotte -Alcadiz Gear-,5332,5235,0,4206.18,不明
sl9,disperagioia [†],5454,5247,4839,4172.53,25.55
sl9,Alcubierre Drive [INSANE],4234,4150,0,3276.05,不明
sl9,Tears of the Sunrise [sagINSANE],5390,5242,0,4348.59,不明
sl9,Auston [ANOTHER+],4650,4517,0,3761.27,不明
sl9,Dark Sky [ManiaK],4960,4872,0,4132.58,不明
sl9,CHAiNSAW [Educational Revolution],4486,4405,0,3588.52,不明
sl9,Andro [F],4444,4263,0,3641.9,不明
sl9,GOODBOUNCE [LUNATIC],5834,5767,5377,4544.92,20.77
sl9,Lepontinia -THE LAST PLANET-,4536,4514,3979,3786.26,2.44
sl9,Schwoeren of tears [Restraint],4642,4568,0,3876.06,不明
sl9,Arcadia -幻眠る-,4062,3998,0,3435.98,不明
sl9,sitosoym -lyra- [Verus amor],4574,4483,0,3492.13,不明
sl9,図書室のエルザ (litmus* Remix) [Middle],5174,5110,4367,4099.46,3.23
sl9,DISCHARGE RUSH  [metallic],4342,4150,0,3522.21,不明
sl9,ロッカー -Unlock-,5000,4962,0,4010.3,不明
sl9,Valedict -SA-,4262,4114,0,3363.62,不明
sl9,Hot Heart is Sprinting Love~!! [地球最後の日],4998,4902,0,4249.74,不明
sl9,Happycore☆Tightcore [ょぅι゛ょっょぃ],3772,3667,3290,2976.5,12.31
sl9,Colorful Dream [虹],5252,5171,0,4245.45,不明
sl9,MEPHISTO [FS],5600,5446,0,4282.42,不明
sl9,Free Hand zero [ANOTHER*],5210,5072,4725,4152.41,23.69
sl9,LOVE★BEAM (orange summer mix) -MANIAC-,4566,4492,4221,3664.9,23.8
sl9,Kronos [HARDEST],4822,4736,0,3945.03,不明
sl9,Fantasy (-ω-),4700,4637,0,3815.99,不明
sl9,High-Priestess [HARDEST],5258,5115,0,4214.61,不明
sl9,The End of Yggdrasil,4840,4778,0,4152.9,不明
sl9,Aeventyr [HARDEST],5002,4873,4292,3953.22,8.03
sl9,Say A Vengeance [HARDEST],5172,5084,4766,4129.93,23.55
sl9,Cynic (THE hyper),4942,4784,0,3795.84,不明
sl10,煉情ミスティフィリア [Purgatory],4270,4217,0,3446.01,不明
sl10,Cross Galaxy [microcosmos],6000,5885,0,4933.77,不明
sl10,ハードルネッサンバ [ANOTHER BOSS],5460,5321,0,4505.81,不明
sl10,異説彼岸花 第二 -終世のリコリス- -死人花-,4098,4053,0,3405.06,不明
sl10,夢の地図と僕らの旅 -To The Future-,4120,4059,0,3557.02,不明
sl10,Never Escape -Eclipse-,5332,5106,0,4326.55,不明
sl10,Flashdance [Crazy_Life],4430,4320,0,3611.9,不明
sl10,温泉大作戦 [温泉名人],4904,4743,0,3989.26,不明
sl10,サカサマの空に在ったのは [SP XANADU],5568,5367,0,4304.58,不明
sl10,Unleashed World -Luna-,4700,4465,3999,3695.98,12.31
sl10,Absolute Future [INSANE],5110,4933,4375,4232.83,3.67
sl10,island dream [lunatic],5400,5142,0,4111.41,不明
sl10,Emptiness 【Klarheit】,4640,4440,0,3737.76,不明
sl10,禁忌と緋色幻想 -The Primary Plasm- [rather],4036,3941,0,3198.14,不明
sl10,Berry Go!! [HARDEST],5016,4926,4672,4170.56,25.43
sl10,硬核機動 -Assault 01-,5400,5238,4755,4291.92,14.93
sl10,All is fair in Rage [Toasty Fatality],5400,5299,4856,4436.06,12.77
sl10,結ばれる奇跡の願い [Shining],4234,4162,3937,3690.23,16.36
sl10,Final examination -Luna-,6200,6070,0,4875.55,不明
sl10,Spiritoso Killer [SP DEATH],4000,3787,0,3164.39,不明
sl10,Defeat awaken battle ship (SP AWAKEN),4800,4635,0,3738.53,不明
sl10,Andromeda [yumether],5770,5664,0,4786.05,不明
sl10,The sinking world [sagINSANE],5596,5594,0,5062.16,不明
sl10,Grayed Out -Antifront- [Luna],4460,4372,0,3565.47,不明
sl10,ハートマークとエンドロール [Coeur],5506,5298,0,4304.42,不明
sl10,Epic Bellum -universum- [Stardust],5616,5479,0,4188.61,不明
sl10,EVERLASTING HAPPiNESS↑ [INSANE],4932,4745,4174,3866.55,8.66
sl10,Demagogie [EX],4912,4750,0,3869.26,不明
sl10,運命論 [Atropos],5776,5483,4619,4352.84,4.74
sl10,A-chasing-Y [Pain],5522,5402,0,4436.31,不明
sl10,踊る水飛沫 [KF7],4036,3982,3682,3301.24,14.79
sl10,night starter [DARK NIGHT],4208,4155,3779,3423.67,10.6
sl10,Bloody Scarlet Nightmare [Li],4840,4723,0,3999.69,不明
sl10,Lolita Scaffold [sLUNATIC],4200,3997,0,3213.44,不明
sl10,Hypertext Transfer Protocol (C++),5006,4865,4535,4138.37,19.5
sl10,KISS CANDY FLAVOR (EX),5598,5522,0,4645.31,不明
sl10,The Decisive Battle [DECISIVE DEATH],4718,4499,0,3839.74,不明
sl10,NS18 [ANOTHER+],5274,5056,4675,3956.96,28.99
sl10,HAELEQUIN (-ω-),6464,6288,0,4957.9,不明
sl10,異説彼岸花 第一 -原初のアマリリス- [HARDEST],4480,4391,0,3591.21,不明
sl10,Central Nucleus [INFERNO],4726,4549,0,3682.87,不明
sl10,Trinity [DELAYMASTER],3312,3057,0,2570.48,不明
sl10,Candy &amp; Baguette [HARDEST],5016,4951,0,3857.18,不明
sl10,PEACE BREAKER [HARDEST],5098,4894,0,4048.42,不明
sl10,NS20 [7key CHAOSDEATH],4692,4418,0,3522.13,不明
sl11,海神寓拝 [Nemesis],5000,4916,0,4379.0,不明
sl11,Sparkling☆Sunshine!! [INSANE],5070,4953,4540,4058.57,16.4
sl11,Black Lair [EXPERT],6350,6095,0,4759.79,不明
sl11,7 colors* -To The Future-,5200,5122,0,4633.27,不明
sl11,Amnehilesie [Etude],5400,5188,0,4480.88,不明
sl11,天海原〜あまみはら〜 【天穹】,4238,3982,0,3189.85,不明
sl11,G-SHOCK [C4A],6084,5910,0,4738.37,不明
sl11,SYNTHETICS [CYBERTIC ETUDE],5020,4833,0,3998.83,不明
sl11,LIGHTNING STAIRWAY [SPIRAL++],3542,3407,0,2843.45,不明
sl11,Romantic Children -Eclipse-,7540,7495,0,6203.16,不明
sl11,char fleuri [Dewero],7452,7388,0,6434.82,不明
sl11,Stray Toy's Adventure!! [HARDEST],6018,5897,0,4949.12,不明
sl11,Rhadamanthys [7A],3460,3245,0,2745.71,不明
sl11,虹夜パレッド,5870,5756,5212,4835.69,9.29
sl11,Neurotoxicity [INSANE],6180,6056,0,5237.69,不明
sl11,翼の折れた天使たちのレクイエム [Despair],5156,5112,0,4402.06,不明
sl11,Moon phase Encounter [Empty Space],7140,7044,0,5863.83,不明
sl11,Celestial Axes  -Luna-,5420,5203,0,4144.7,不明
sl11,VENDeTTA [INSANE],4706,4574,0,3849.95,不明
sl11,SAVE The World -starlight,more Colors- [You've Come Far...],5556,5442,4885,4377.28,11.85
sl11,Pure White † Crimson Coffin -Luna-,6360,6248,0,5208.76,不明
sl11,Brave My Soul [B.M.S.],5376,5233,0,4272.22,不明
sl11,ouroVoros [Judgment],4664,4493,0,3637.45,不明
sl11,GOODRAGE [#MAGiCVL_R4G3],5172,5023,0,4113.52,不明
sl11,シグナルほっぴんぐ [Yakther],4314,4192,3740,3357.78,12.34
sl11,sensitive -GOD-,5670,5508,0,4363.85,不明
sl11,Wavetapper [ATHLETIC],5500,5416,0,4650.8,不明
sl11,Black Lotus  [SP CHALLENGER+],4384,4185,0,3230.34,不明
sl11,Chronostasis [INSANE],4444,4239,0,3448.6,不明
sl11,空,6034,5968,0,5264.48,不明
sl11,tinnitus -7 Minether-,6122,6031,5337,5095.55,3.68
sl11,After Burner [SKY HIGH],6200,6052,0,4946.1,不明
sl11,ヒメタイプ [LAPITHER],4868,4736,4386,3885.88,21.12
sl11,Poisonous Peach [Eb],3378,3314,0,2590.73,不明
sl11,Death Opera [The Phantom],5096,4794,0,3829.47,不明
sl11,MASAMUNE [MANIAQ],5200,5017,0,4275.35,不明
sl11,ホーリーサンバランド -Training7-,6800,6557,5845,5318.62,11.97
sl11,Re*incarnacion [MANIAQ],4830,4706,4123,3900.85,5.0
sl11,Amusing Colorful Pudding. [HARDEST],4726,4554,0,3908.12,不明
sl11,Run Away [ELITHER],4272,4194,0,3495.1,不明
sl11,Rosario -輪廻幻想譚- (EX),8222,7925,0,6525.92,不明
sl11,Daydreamer [EX],5730,5695,0,4594.56,不明
sl11,It's "alice" dream [HARDEST],5052,4937,0,4087.72,不明
sl11,Singing of Night birds [yumether],5240,5078,0,4361.5,不明
sl11,GaRaKuTic Dream [Maniac+],3926,3725,0,2868.9,不明
sl11,しぇる☆どっきんぐ 〜だめ！このままじゃ溢れちゃう！〜 [HARDEST],6344,6143,0,5014.51,不明
sl11,-+　 -EX-,4488,4224,0,3281.79,不明
sl11,S [HARDEST],5898,5709,0,4752.47,不明
sl11,Drop! [SABOTHER],4444,3995,3770,3280.4,43.42
sl11,7SP:雪の少女-MorningDash!Mix- [EXTREME],5610,5467,0,4225.34,不明
sl11,kkotipari Hangaduk [HARDEST],5646,5414,0,4479.43,不明
sl11,Blue-White Crazystars [HARDEST],3712,3473,3119,2749.73,20.49
sl11,Romancecar (Kukan Junkyu Edit) [Nemesis],4756,4712,0,3894.22,不明
sl11,Ready to Go (^ω^;),4242,4198,0,3371.22,不明
sl12,subconsciousness [Traumdeutung],5290,5274,0,4291.53,不明
sl12,煉獄-Priestess -Hopeless-,5800,5350,0,4672.21,不明
